absolutely	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.7942460775375366	# inferred from indeed, yet, otherwise
likewise	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
locally	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.7252167463302612	# inferred from additionally
luckily	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	0.4793314039707184	# inferred from afterward
maybe	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	0.8761388659477234	# inferred from so, but
meaning	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	0.8436521887779236	# inferred from hence
meantime	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
meantime	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous	1.0
meantime	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	1.0
meantime	en	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	1.0
meanwhile	en	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	1.0
meanwhile	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	1.0
meanwhile	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
meanwhile	en	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	1.0
moreover	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
mostly	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.7673951387405396	# inferred from similarly
namely	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.7085014581680298	# inferred from furthermore
nationally	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.634317934513092	# inferred from additionally
naturally	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	0.7285676598548889	# inferred from so, therefore
nevertheless	en	COMPARISON	COMPARISON	COMPARISON	1.0
nevertheless	en	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	1.0
nevertheless	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	1.0
next	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
next	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	1.0
nonetheless	en	COMPARISON	COMPARISON	COMPARISON	1.0
nonetheless	en	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	1.0
nonetheless	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	1.0
nonetheless	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
normally	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	0.8066343069076538	# inferred from rather, instead, though
notably	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	0.7979429364204407	# inferred from by comparison, by contrast
now	en	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	0.9391729831695557	# inferred from still, once
obviously	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	0.8691195845603943	# inferred from so, but
occasionally	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	0.7476713061332703	# inferred from instead, rather, on the other hand
oddly	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.6858950853347778	# inferred from similarly
often	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	0.9052397608757019	# inferred from rather, though
on the contrary	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	1.0
on the other hand	en	COMPARISON	COMPARISON	COMPARISON	1.0
on the other hand	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	1.0
on the other hand	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
once	en	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition	1.0
once	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	1.0
once	en	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	1.0
only	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	0.9242712259292603	# inferred from but, as a result
optionally	en	EXPANSION	EXPANSION:Disjunction	EXPANSION:Disjunction	0.6939293146133423	# inferred from alternatively
or	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	1.0
or	en	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition	1.0
or	en	EXPANSION	EXPANSION	EXPANSION	1.0
or	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
or	en	EXPANSION	EXPANSION:Disjunction	EXPANSION:Disjunction	1.0
or	en	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	1.0
or	en	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	1.0
originally	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	0.8202518224716187	# inferred from previously, although
otherwise	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
otherwise	en	EXPANSION	EXPANSION:Disjunction	EXPANSION:Disjunction	1.0
otherwise	en	EXPANSION	EXPANSION:Exception	EXPANSION:Exception	1.0
overall	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
overall	en	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	1.0
overall	en	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg1-as-detail	1.0
particularly	en	COMPARISON	COMPARISON	COMPARISON	0.84772789478302	# inferred from though, indeed
perhaps	en	COMPARISON	COMPARISON	COMPARISON	0.951697587966919	# inferred from indeed, yet, though
personally	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	0.714978814125061	# inferred from afterward
plus	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
preferably	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.4368751347064972	# inferred from or, plus
presently	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.6726769804954529	# inferred from additionally
presumably	en	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	0.8302550911903381	# inferred from indeed, rather
previously	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	1.0
previously	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	1.0
probably	en	COMPARISON	COMPARISON	COMPARISON	0.9272733926773071	# inferred from though, indeed
rather	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	1.0
rather	en	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	1.0
rather	en	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution	1.0
realistically	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.5092615485191345	# inferred from indeed, otherwise
really	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	0.9144517779350281	# inferred from so, but
recently	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	0.8646624088287354	# inferred from by comparison, by contrast
regardless	en	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	1.0
remarkably	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.7591284513473511	# inferred from similarly
sadly	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.6820111274719238	# inferred from indeed, yet, otherwise
second	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	0.8284764289855957	# inferred from in the end, in contrast
secondly	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	0.5537368655204773	# inferred from accordingly
separately	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
separately	en	EXPANSION	EXPANSION:Disjunction	EXPANSION:Disjunction	1.0
seriously	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	0.7197008728981018	# inferred from but, so
significantly	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.8094756007194519	# inferred from moreover
similarly	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
simultaneously	en	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	1.0
slowly	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	0.7321842312812805	# inferred from finally, then, still
so	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	1.0
so	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	1.0
sometimes	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	0.9034461379051208	# inferred from rather, though
soon	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.9032621383666992	# inferred from finally, later, then, however
specifically	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
specifically	en	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	1.0
still	en	COMPARISON	COMPARISON	COMPARISON	1.0
still	en	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	1.0
still	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	1.0
still	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	1.0
still	en	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	1.0
strangely	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.6300364136695862	# inferred from similarly
subsequently	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	0.88591068983078	# inferred from later, thereafter
suddenly	en	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	0.8092864155769348	# inferred from once, still
supposedly	en	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	0.7789289951324463	# inferred from indeed, rather
surely	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.844115138053894	# inferred from indeed, yet, ultimately
surprisingly	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.7665585875511169	# inferred from nonetheless, similarly
technically	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.7124438285827637	# inferred from otherwise, similarly
thankfully	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.4861106872558594	# inferred from otherwise, indeed, yet
then	en	COMPARISON	COMPARISON	COMPARISON	1.0
then	en	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	1.0
then	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	1.0
then	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	1.0
then	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	1.0
then	en	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition	1.0
then	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
then	en	EXPANSION	EXPANSION:Disjunction	EXPANSION:Disjunction	1.0
then	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	1.0
then	en	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	1.0
theoretically	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	0.7436834573745728	# inferred from therefore
thereafter	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	1.0
thereafter	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	1.0
thereby	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	1.0
therefore	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	1.0
third	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.8127180933952332	# inferred from next, in the end, overall
thirdly	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	0.4239630401134491	# inferred from accordingly
this	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	0.9381095767021179	# inferred from as a result
though	en	COMPARISON	COMPARISON	COMPARISON	1.0
though	en	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	1.0
though	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	1.0
thus	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	1.0
together	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	0.8494391441345215	# inferred from and, on the other hand, instead
traditionally	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.737450122833252	# inferred from similarly
truly	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	0.7791606187820435	# inferred from yet, rather
truthfully	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	0.4287850558757782	# inferred from afterward
typically	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.8333349227905273	# inferred from or, additionally
ultimately	en	EXPANSION	EXPANSION	EXPANSION	1.0
ultimately	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
ultimately	en	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	1.0
ultimately	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	1.0
undoubtedly	en	COMPARISON	COMPARISON	COMPARISON	0.8230277299880981	# inferred from indeed, nevertheless
unfortunately	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	0.8857595920562744	# inferred from so, but
unsurprisingly	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	0.430022656917572	# inferred from nonetheless, conversely
usually	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	0.8740627765655518	# inferred from rather, or, instead
well	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.941204309463501	# inferred from and, on the other hand, also
yet	en	COMPARISON	COMPARISON	COMPARISON	1.0
yet	en	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	1.0
yet	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	1.0
yet	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
